"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Nigeria","Export","Fish","1085","","1809","","1778","","2015","","3567","","2676","F","844","","3089","","1983","","433","F","533","","18002","","20938","F","87466","","8075","F","8710","F"
"Nigeria","Import","Crustaceans","8","","0","-","31","","11","","96","F","40","","140","","179","","0","-","135","","180","","8765","","1285","","8163","F","972","F","2586",""
"Nigeria","Import","Fish","179520","","447538","","360586","","480368","F","499011","F","607887","F","765042","F","884338","","609944","","772156","","928752","","1951132","F","1419637","F","1174951","F","1310608","F","1198997","F"
"Rwanda","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","9","","0","-"
"Rwanda","Export","Fish","0",".","0",".","0",".","0",".","0",".","57","","1","","21","","91","","287","","200","","83","","231","","149","","1179","","2064","F"
"Rwanda","Import","Crustaceans","29","F","4","","0","0","17","","0","-","3","","2","","3","","4","","8","","5","","11","","7","","5","","39","","27",""
"Rwanda","Import","Fish","82","F","112","","173","","118","","27","","34","","453","","3022","","1783","","2358","","3786","","6643","","8203","","8729","","17966","","21973","F"
"Saint Helena","Export","Crustaceans","3806","F","4899","F","4436","F","4247","F","3462","F","3163","F","2969","F","3143","F","5615","F","5436","F","6353","F","4223","F","5982","F","6116","F","4896","F","5682","F"
"Saint Helena","Export","Fish","189","F","1273","F","2493","F","1214","F","1949","F","1839","F","2259","F","4640","F","7670","F","3975","F","3328","F","6972","F","4038","F","3663","F","5983","F","11931","F"
"Saint Helena","Import","Crustaceans","0","-","58","F","0","-","195","F","111","F","7","","90","F","5","","8","","5","","1","","3","","3","F","15","F","81","F","28","F"
"Saint Helena","Import","Fish","220","F","78","F","75","F","126","F","35","F","197","F","421","F","110","F","51","F","35","F","79","F","40","F","24","F","90","F","117","F","96","F"
"Sao Tome and Principe","Export","Crustaceans","0",".","0",".","0",".","2","","0","-","0","-","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0"
"Sao Tome and Principe","Export","Fish","57","F","270","F","77","F","0","0","0","0","0","0","16","","6","","1","","2","","2","","0","-","0","-","1","","3","","4",""
"Sao Tome and Principe","Import","Crustaceans","0","-","1","","0","-","2","","2","","3","","9","","10","","39","","30","","26","","43","","55","","85","","86","","83",""
"Sao Tome and Principe","Import","Fish","63","","6","","15","","26","","18","","14","","64","","131","","123","","125","","117","","249","","262","","282","","259","","170",""
"Senegal","Export","Crustaceans","53603","","75090","","29159","F","41280","","44710","","45912","","39597","","31516","","18554","","20602","","28519","","26645","","22288","","26521","","30554","","28963",""
"Senegal","Export","Fish","152136","","156250","","120283","","139838","","196807","","155348","","153569","","200877","","155116","","171538","","166681","","198064","","175546","","227059","","306758","","259976",""
"Senegal","Import","Crustaceans","269","F","151","","235","","43","","116","","99","","56","","50","","67","","52","","74","","80","","78","","190","","26","","103",""
"Senegal","Import","Fish","1010","F","636","","353","","482","","1243","","1015","","898","","1812","","2536","","953","","5480","","16861","","14069","","18641","","14467","","19525",""
"Seychelles","Export","Crustaceans","3208","","2158","","1308","","7643","","7765","","5859","","4575","","2600","","2416","F","208","F","3","","0","-","0","-","0","-","0","-","55",""
